compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
384_1424	selected	DC	0.7419	0.2036	0.421	0.2398	1	90%	4.3773	4.3772	-4.2088	24.1202	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1391324, CHEMBL1352375, CHEMBL1477697, CHEMBL1399277, CHEMBL1370423, CHEMBL1326873, CHEMBL1454718, CHEMBL1318969	8
564_1472	selected	DC	0.214	0.3358	0.2286	0.2059	5	90%	4.376	4.3734	-4.331	9.6262	NOT COLORED	ACHIRAL	Solid	NA	0	0
605_1253	selected	DC	0.4595	0.2101	0.419	0.2316	2	90%	4.3711	4.31	-4.3178	14.0251	NOT COLORED	ACHIRAL	Solid	NA	0	0
412_1043	selected	DC	0.3701	0.2309	0.2088	0.316	1	90%	4.3433	4.3268	-4.1283	8.8226	NOT COLORED	ACHIRAL	Solid	NA	0	0
913_1404	selected	DC	0.5294	0.2551	0.3559	0.3141	2	90%	4.3199	4.3006	-4.2441	12.14	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
530_1152	selected	DC	0.2562	0.2168	0.5071	0.2514	1	90%	4.3166	4.3166	-4.5566	24.7178	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1428630, CHEMBL1594779	2
372_1071	selected	DC	0.3979	0.2324	0.4845	0.3085	1	90%	4.3166	4.3166	-4.3259	16.3193	NOT COLORED	ACHIRAL	Oil	NA	0	0
586_1648	selected	DC	0.3218	0.2077	0.5587	0.2484	30	90%	4.2864	4.2864	-4.6978	14	NOT COLORED	ACHIRAL	Solid	NA	0	0
91_1350	selected	DC	0.4198	0.6137	0.6596	0.7364	16	90%	4.2802	4.2789	-4.239	23.6184	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
425_1233	selected	DC	0.3889	0.2578	0.3847	0.3391	3	90%	4.2624	4.2598	-4.4748	9.68	NOT COLORED	ACHIRAL	Solid	NA	0	0
248_1655	selected	DC	0.2724	0.2915	0.5011	0.4583	1	90%	4.2586	4.2585	-4.1291	23.1572	NOT COLORED	ACHIRAL	Solid	NA	0	0
706_1834	selected	DC	0.336	0.3361	0.2665	0.5437	74	90%	4.2502	4.2501	-4.1594	11.6393	ORANGE	ACHIRAL	Solid	NA	0	0
159_1573	selected	DC	0.412	0.2542	0.2832	0.3349	7	90%	4.2307	4.23	-3.9484	10.5192	NOT COLORED	ACHIRAL	Solid	NA	0	0
15_1419	selected	DC	0.5237	0.2113	0.2425	0.2628	1	90%	4.216	4.2029	-4.3799	21.0462	NOT COLORED	ACHIRAL	Liquid	NA	0	0
851_1368	selected	DC	0.4797	0.7834	0.2444	0.2043	10	90%	4.2112	4.2112	-4.1034	12.1355	ORANGE	ACHIRAL	Solid	NA	CHEMBL1555154	1
445_1832	selected	DC	0.3011	0.2044	0.7278	0.452	3	90%	4.2108	4.2108	-4.8776	14	BROWN	ACHIRAL	Solid	NA	0	0
